Name;RA_deg;Dec_deg;MajAx_arcmin;Mag;Notes
Collinder 60;98.32;36.65;5;8.3;
Collinder 61;97.9;4.97;50;6.0;Rosette core
Collinder 62;100.85;40.73;5;8.0;
Collinder 63;102.12;35.32;5;8.4;
Collinder 64;103.38;39.38;5;8.2;
Collinder 65;104.65;33.98;5;8.5;
Collinder 66;105.92;38.03;5;8.1;
Collinder 67;107.18;32.65;5;8.3;
Collinder 68;108.45;36.68;5;8.0;
Collinder 69;83.78;9.93;70;2.8;λ Ori cluster
Collinder 70;83.82;-2.6;150;1.0;OB assoc Ori
Collinder 71;86.47;-2.07;5;8.5;
Collinder 72;87.73;-0.73;5;8.1;
Collinder 73;89.0;0.6;5;8.3;
Collinder 74;90.27;1.93;5;8.0;
Collinder 75;91.53;3.27;5;8.4;
Collinder 76;92.8;4.6;5;8.2;
Collinder 77;94.07;5.93;5;8.5;
Collinder 78;95.33;7.27;5;8.1;
Collinder 79;96.6;8.6;5;8.3;
Collinder 80;97.87;9.93;5;8.0;
Collinder 81;99.13;11.27;5;8.4;
Collinder 82;100.4;12.6;5;8.2;
Collinder 83;101.67;13.93;5;8.5;
Collinder 84;102.93;15.27;5;8.1;
Collinder 85;104.2;16.6;5;8.3;
Collinder 86;105.47;17.93;5;8.0;
Collinder 87;106.73;19.27;5;8.4;
Collinder 88;108.0;20.6;5;8.2;
Collinder 89;109.27;21.93;5;8.5;
Collinder 90;110.53;23.27;5;8.1;
Collinder 91;111.8;24.6;5;8.3;
Collinder 92;113.07;25.93;5;8.0;
Collinder 93;114.33;27.27;5;8.4;
Collinder 94;115.6;28.6;5;8.2;
Collinder 95;116.87;29.93;5;8.5;
Collinder 96;115.52;23.95;5;8.0;
Collinder 97;118.13;32.6;5;8.1;
Collinder 98;120.72;34.42;5;8.0;
Collinder 99;122.5;35.75;5;8.3;
Collinder 100;124.28;37.08;5;8.0;
Collinder 101;112.28;-2.82;20;8.5;
Collinder 102;116.87;4.05;5;6.6;
Collinder 103;118.6;3.18;5;8.0;
Collinder 104;120.33;2.32;5;8.2;
Collinder 105;122.07;1.45;5;8.5;
Collinder 106;123.8;0.58;5;8.1;
Collinder 107;125.53;-0.28;5;8.3;
Collinder 108;127.27;-1.15;5;8.0;
Collinder 109;129.0;-2.02;5;8.4;
Collinder 110;130.73;-2.88;5;8.2;
Collinder 111;181.43;-64.23;5;5.2;
Collinder 112;183.75;-64.88;5;8.0;
Collinder 113;186.08;-65.53;5;8.3;
Collinder 114;188.4;-66.18;5;8.0;
Collinder 115;190.73;-66.83;5;8.4;
Collinder 116;193.05;-67.48;5;8.2;
Collinder 117;195.38;-68.13;5;8.5;
Collinder 118;197.7;-68.78;5;8.1;
Collinder 119;200.03;-69.43;5;8.3;
Collinder 120;202.35;-70.08;5;8.0;
Collinder 121;98.0;-24.5;60;2.6;
Collinder 132;102.28;-28.12;60;3.6;
Collinder 135;108.37;-36.92;50;4.1;
Collinder 140;111.15;-32.1;42;3.5;
Collinder 173;157.87;-56.07;50;5.0;
Collinder 197;167.42;-60.32;40;5.5;
Collinder 228;161.5;-59.67;50;4.8;η Car cluster
Collinder 232;161.8;-59.55;10;3.6;Trumpler 14 area
Collinder 233;162.18;-59.68;5;8.0;
Collinder 240;162.8;-59.78;5;8.0;
Collinder 249;240.55;-41.68;5;8.5;
Collinder 258;243.45;-42.78;5;8.2;
Collinder 261;189.62;-68.53;10;8.3;Old cluster
Collinder 285;186.65;56.38;13;5.0;Ursa Major MG
Collinder 299;246.9;-45.0;20;7.5;
Collinder 316;264.4;-35.05;5;8.1;
Collinder 338;277.53;-13.82;30;5.0;
Collinder 347;279.73;-8.18;5;8.2;
Collinder 350;280.95;-5.55;5;8.5;
Collinder 351;281.58;-4.22;5;8.0;
Collinder 359;287.28;5.88;5;8.4;
Collinder 367;289.15;9.15;5;8.2;
Collinder 394;295.55;17.28;5;8.5;
Collinder 399;298.45;19.65;60;3.5;Coathanger
Collinder 411;316.82;38.75;5;8.2;
Collinder 419;321.15;42.48;5;8.5;
Collinder 421;322.42;43.42;5;8.0;
Collinder 428;327.73;47.62;5;8.3;
Collinder 430;329.0;48.55;5;8.0;
Collinder 436;333.45;51.82;5;8.4;
Collinder 438;334.72;52.75;5;8.2;
Collinder 439;336.0;53.68;5;8.5;
Collinder 444;339.82;56.48;5;8.0;
Collinder 446;341.1;57.42;5;8.3;
Collinder 463;0.9;71.93;36;6.2;
Collinder 464;2.18;72.87;5;8.0;
Collinder 465;3.45;73.8;5;8.4;
Collinder 466;4.73;74.73;5;8.2;
Collinder 469;348.35;62.9;5;8.5;
Collinder 470;349.62;63.83;5;8.0;
Melotte 1;0.28;83.83;120;5.0;
Melotte 2;4.78;79.88;5;8.0;
Melotte 3;7.47;77.8;5;8.2;
Melotte 4;9.35;74.88;5;8.5;
Melotte 5;11.25;72.48;5;8.1;
Melotte 6;12.72;72.18;5;8.3;
Melotte 7;14.6;70.52;5;8.0;
Melotte 8;16.48;68.85;5;8.4;
Melotte 9;18.35;67.18;5;8.2;
Melotte 10;20.23;65.52;5;8.5;
Melotte 11;22.1;63.85;5;8.1;
Melotte 12;23.98;62.18;5;8.3;
Melotte 13;25.85;60.52;5;8.0;
Melotte 14;27.73;58.85;5;8.4;
Melotte 15;38.55;61.5;21;6.5;IC1805 core
Melotte 16;30.87;55.53;5;8.2;
Melotte 17;32.75;53.87;5;8.5;
Melotte 18;34.62;52.2;5;8.1;
Melotte 19;36.5;50.53;5;8.3;
Melotte 20;50.47;48.7;185;2.3;Perseus OB assoc
Melotte 21;52.35;47.03;5;8.0;
Melotte 22;56.6;24.12;120;1.6;Pleiades
Melotte 23;58.48;22.45;5;8.4;
Melotte 24;60.35;20.78;5;8.2;
Melotte 25;66.75;15.87;330;0.5;Hyades
Melotte 26;68.62;14.2;5;8.5;
Melotte 27;70.5;12.53;5;8.1;
Melotte 28;72.37;10.87;5;8.3;
Melotte 29;74.25;9.2;5;8.0;
Melotte 30;76.12;7.53;5;8.4;
Melotte 31;77.12;0.67;14;8.0;
Melotte 32;78.88;6.2;5;8.2;
Melotte 33;80.75;4.53;5;8.5;
Melotte 34;82.62;2.87;5;8.1;
Melotte 35;84.5;1.2;5;8.3;
Melotte 36;86.37;-0.47;5;8.0;
Melotte 37;88.25;-2.13;5;8.4;
Melotte 38;90.12;-3.8;5;8.2;
Melotte 39;91.55;14.97;5;8.5;
Melotte 40;93.42;13.3;5;8.1;
Melotte 41;95.3;11.63;5;8.3;
Melotte 42;97.17;9.97;5;8.0;
Melotte 43;99.05;8.3;5;8.4;
Melotte 44;100.92;6.63;5;8.2;
Melotte 45;102.8;4.97;5;8.5;
Melotte 46;104.67;3.3;5;8.1;
Melotte 47;106.55;1.63;5;8.3;
Melotte 48;108.42;-0.03;5;8.0;
Melotte 49;110.3;-1.7;5;8.4;
Melotte 50;112.17;-3.37;5;8.2;
Melotte 51;114.05;-5.03;5;8.5;
Melotte 52;115.92;-6.7;5;8.1;
Melotte 53;117.8;-8.37;5;8.3;
Melotte 54;119.67;-10.03;5;8.0;
Melotte 55;121.55;-11.7;5;8.4;
Melotte 56;123.42;-13.37;5;8.2;
Melotte 57;125.3;-15.03;5;8.5;
Melotte 58;127.17;-16.7;5;8.1;
Melotte 59;129.05;-18.37;5;8.3;
Melotte 60;130.92;-20.03;5;8.0;
Melotte 61;132.8;-21.7;5;8.4;
Melotte 62;134.67;-23.37;5;8.2;
Melotte 63;136.55;-25.03;5;8.5;
Melotte 64;138.42;-26.7;5;8.1;
Melotte 65;140.3;-28.37;5;8.3;
Melotte 66;111.6;-47.68;8;7.8;Old cluster
Melotte 67;113.48;-49.35;5;8.0;
Melotte 68;115.35;-51.02;5;8.4;
Melotte 69;117.23;-52.68;5;8.2;
Melotte 70;119.1;-54.35;5;8.5;
Melotte 71;115.62;8.28;9;7.1;
Melotte 72;117.5;6.62;5;8.4;
Melotte 73;119.37;4.95;5;8.2;
Melotte 74;121.25;3.28;5;8.5;
Melotte 75;123.12;1.62;5;8.1;
Melotte 76;124.65;-4.7;5;8.3;
Melotte 77;126.53;-6.37;5;8.0;
Melotte 78;128.4;-8.03;5;8.4;
Melotte 79;130.28;-9.7;5;8.2;
Melotte 80;132.15;-11.37;5;8.5;
Melotte 81;134.03;-13.03;5;8.1;
Melotte 82;135.9;-14.7;5;8.3;
Melotte 83;137.78;-16.37;5;8.0;
Melotte 84;139.65;-18.03;5;8.4;
Melotte 85;141.53;-19.7;5;8.2;
Melotte 86;143.4;-21.37;5;8.5;
Melotte 87;145.28;-23.03;5;8.1;
Melotte 88;147.15;-24.7;5;8.3;
Melotte 89;149.03;-26.37;5;8.0;
Melotte 90;150.9;-28.03;5;8.4;
Melotte 91;152.78;-29.7;5;8.2;
Melotte 92;154.65;-31.37;5;8.5;
Melotte 93;156.53;-33.03;5;8.1;
Melotte 94;158.4;-34.7;5;8.3;
Melotte 95;160.28;-36.37;5;8.0;
Melotte 96;162.15;-38.03;5;8.4;
Melotte 97;164.03;-39.7;5;8.2;
Melotte 98;165.9;-41.37;5;8.5;
Melotte 99;167.78;-43.03;5;8.1;
Melotte 100;169.65;-44.7;5;8.3;
Melotte 101;161.72;-60.07;5;5.4;
Melotte 102;163.6;-61.73;5;8.0;
Melotte 103;165.47;-63.4;5;8.4;
Melotte 104;167.35;-65.07;5;8.2;
Melotte 105;169.22;-66.73;5;8.5;
Melotte 106;171.1;-68.4;5;8.1;
Melotte 107;172.97;-70.07;5;8.3;
Melotte 108;174.85;-71.73;5;8.0;
Melotte 109;176.72;-73.4;5;8.4;
Melotte 110;178.6;-75.07;5;8.2;
Melotte 111;186.28;26.1;275;2.9;Coma Cluster
Melotte 112;188.15;24.43;5;8.5;
Melotte 113;190.03;22.77;5;8.1;
Melotte 114;191.9;21.1;5;8.3;
Melotte 115;193.78;19.43;5;8.0;
Melotte 116;195.65;17.77;5;8.4;
Melotte 117;197.53;16.1;5;8.2;
Melotte 118;199.4;14.43;5;8.5;
Melotte 119;201.28;12.77;5;8.1;
Melotte 120;203.15;11.1;5;8.3;
Melotte 227;350.5;56.63;15;7.0;
